User ID,Gender,Age,Salary,ProbOfPurchase
24510,Female,20,19500,1
10944,Male,28,23500,0
68575,Male,26,39500,1
03246,Female,27,61000,1
04002,Male,21,76000,0
28773,Male,27,58000,0
98044,Female,27,84000,0
94829,Female,32,150000,1
00575,Male,25,33000,0
27311,Female,28,65000,0
70769,Female,26,80000,0
06274,Female,26,52000,0
46139,Male,20,86000,0
04987,Male,32,18000,0
28972,Male,18,82000,0
97686,Male,29,80000,0
33883,Male,51,25000,1
17482,Male,45,26000,1
04583,Male,46,28000,1
21083,Female,48,29000,1
49487,Male,45,22000,1
36760,Female,51,49000,1
14658,Male,48,41000,1
99081,Female,45,22000,1
05113,Male,46,23000,1
31159,Male,51,23500,1
92818,Male,49,28000,1
32831,Female,51,30000,1
44529,Male,29,39500,0
69656,Male,31,18000,0
81218,Male,31,74000,0
29054,Female,27,137000,1
73452,Female,21,16000,0
76733,Female,28,44000,0
24858,Male,27,90000,0
13144,Male,28,27000,0
90188,Female,33,28000,0
89425,Male,30,49000,0
71766,Female,26,72000,0
82806,Female,27,31000,0
64421,Female,27,17000,0
92115,Female,33,51000,0
72798,Male,28,108000,0
92008,Male,30,15000,0
15541,Female,28,84000,0
39277,Male,23,23500,0
98850,Male,25,79000,0
76348,Female,27,54000,0
27696,Male,30,128000,1
93813,Female,31,89000,0
94395,Female,24,32000,0
64215,Female,18,44000,0
44921,Female,29,83000,0
71655,Female,28,23000,0
54901,Female,27,58000,0
49136,Female,24,55000,0
75562,Female,23,48000,0
07481,Male,28,79000,0
42885,Male,22,18000,0
89109,Female,32,117000,0
14004,Male,27,23500,0
73621,Male,25,87000,0
95128,Female,23,66000,0
83681,Male,32,123500,1
05000,Female,59,83000,0
18071,Male,24,58000,0
79760,Male,24,19500,0
54574,Female,23,82000,0
77178,Female,22,63000,0
95324,Female,31,68000,0
56932,Male,25,80000,0
26288,Female,24,27000,0
95228,Female,20,23000,0
82530,Female,33,113000,0
92877,Male,32,18000,0
52183,Male,34,112000,1
46737,Male,18,52000,0
74179,Female,22,27000,0
67265,Female,28,87000,0
55123,Female,26,17000,0
95917,Male,30,80000,0
68385,Male,39,42000,0
09516,Male,20,49000,0
11218,Male,28,88000,0
98659,Female,30,62000,0
63939,Female,31,118000,1
94946,Male,24,55000,0
32112,Female,28,85000,0
68816,Male,26,81000,0
82268,Male,28,50000,0
84801,Male,22,81000,0
36428,Female,30,116000,0
09823,Male,26,15000,0
99284,Female,29,28000,0
86993,Female,29,83000,0
